CUST_ID,GENDER,MARITAL_STATUS,NATIONALITY,EDUCATION,EMPLOYMENT,OCCUPATION,AGE_IN_YEARS,NO_OF_DIFFERENT_PRODUCTS,LOAN_DEFAULT,DATE_OF_BIRTH,FIRST_CUSTOMER_OPENING_DATE,weekday
98251,Male,Married,Other,Elementary,Private Company / Partnership,Construction companies Owne,39.326489,2,T,1965-01-01,2003-03-11,4.0
98286,Male,Single,Other,College/University,University - College Student,n/a,22.642026,2,T,1981-09-08,2003-03-11,1.0
98324,Male,Single,Other,College/University,University - College Student,n/a,21.971253,2,T,1982-05-11,2003-03-11,1.0
98341,Male,Single,Other,n/a,University - College Student,n/a,27.542779,3,T,1976-10-14,2003-03-12,3.0
98362,Male,Single,Other,College/University,University - College Student,n/a,21.357974,2,F,1982-12-21,2003-03-12,1.0
98391,Male,Single,Other,n/a,University - College Student,n/a,26.986995,2,F,1977-05-05,2003-03-12,3.0
98420,Male,Single,Other,n/a,University - College Student,n/a,27.080082,2,T,1977-04-01,2003-03-12,4.0
98442,Male,Single,Other,n/a,University - College Student,n/a,27.175907,2,T,1977-02-25,2003-03-12,4.0
98483,Male,Married,British,n/a,Selfemployed,Other Businessmen,33.127995,3,F,1971-03-15,2003-03-12,0.0
98537,Male,Single,Other,n/a,University - College Student,n/a,25.623546,2,T,1978-09-15,2003-03-13,4.0
98554,Male,Single,Other,n/a,University - College Student,n/a,29.295003,3,T,1975-01-13,2003-03-13,0.0
98583,Male,Single,Other,College/University,University - College Student,n/a,25.883641,2,T,1978-06-12,2003-03-13,0.0
98621,Male,Single,Other,College/University,University - College Student,n/a,22.899384,3,T,1981-06-06,2003-03-14,5.0
98640,Male,Married,British,n/a,Government - Semi-Government,MILITARY,30.099932,3,F,1974-03-25,2003-03-14,0.0
98714,Male,Single,Other,n/a,Private Company / Partnership,Unskilled Worker,24.429843,2,T,1979-11-25,2003-03-14,6.0
98759,Female,Married,Other,n/a,Housewife,n/a,57.746749,1,F,1946-08-01,2003-03-17,3.0
98788,Male,Single,Other,College/University,University - College Student,n/a,27.997262,3,T,1976-05-01,2003-03-17,5.0
98832,Female,Married,Russians,College/University,Housewife,n/a,27.581109,2,T,1976-09-30,2003-03-17,3.0
98875,Male,Single,Other,n/a,University - College Student,n/a,24.766598,2,F,1979-07-25,2003-03-17,2.0
98901,Male,Married,British,n/a,Retired,n/a,63.797399,7,F,1940-07-13,2003-03-18,5.0
98962,Male,Single,Greek,Secondary,Puplic Company,Technicians,21.481177,2,T,1982-11-06,2003-03-18,5.0
98988,Male,Single,Other,n/a,University - College Student,n/a,24.158795,3,F,1980-03-03,2003-03-18,0.0
99009,Male,Single,Other,n/a,Private Company / Partnership,Skilled Worker,23.460643,2,T,1980-11-13,2003-03-19,3.0
99048,Male,Single,Other,n/a,University - College Student,n/a,24.402464,2,F,1979-12-05,2003-03-19,2.0
99113,Female,Single,Greek,n/a,Private Company / Partnership,Middle Manager,30.231348,2,F,1974-02-05,2003-03-20,1.0
99173,Female,Single,Greek,n/a,Private Company / Partnership,Salesmen,22.409309,2,F,1981-12-02,2003-03-20,2.0
99213,Male,Married,Greek,n/a,Private Company / Partnership,SENIOR MANAGER,36.684463,3,F,1967-08-24,2003-03-21,3.0
99249,Male,Married,British,n/a,Selfemployed,Other Professionals,49.166324,5,F,1955-03-01,2003-03-21,1.0
99280,Male,Single,Other,n/a,University - College Student,n/a,24.876112,2,T,1979-06-15,2003-03-24,4.0
99336,Female,Married,Other,n/a,Private Company / Partnership,Skilled Worker,20.019165,2,T,1984-04-23,2003-03-24,0.0
99384,Female,Married,British,n/a,Private Company / Partnership,Other Professionals,49.289528,1,F,1955-01-15,2003-03-24,5.0
99430,Male,Single,Other,n/a,University - College Student,n/a,23.47707,2,T,1980-11-07,2003-03-24,4.0
99496,Male,Single,Other,n/a,University - College Student,n/a,24.161533,2,T,1980-03-02,2003-03-26,6.0
99544,Female,Married,Other,n/a,Partial Employment,Other Businessmen,28.607803,1,T,1975-09-21,2003-03-26,6.0
99605,Male,Single,Other,College/University,University - College Student,n/a,24.988364,2,T,1979-05-05,2003-03-27,5.0
99694,Male,Single,Other,n/a,University - College Student,n/a,23.540041,2,T,1980-10-15,2003-03-28,2.0
99750,Female,Married,Other,College/University,Housewife,n/a,50.236824,1,F,1954-02-03,2003-03-31,2.0
99791,Male,Single,Other,College/University,Private Company / Partnership,SENIOR MANAGER,39.868583,3,F,1964-06-17,2003-03-31,2.0
99841,Male,Married,Other,n/a,Private Company / Partnership,Skilled Worker,27.8987,2,T,1976-06-06,2003-04-02,6.0
99899,Male,Married,British,n/a,Retired,n/a,68.550308,4,F,1935-10-12,2003-04-02,5.0
99943,Male,Single,Greek Cypriot,n/a,Private Company / Partnership,Clerical Staff,31.058179,2,T,1973-04-09,2003-04-03,0.0
99971,Male,Married,British,n/a,Retired,n/a,65.878166,3,F,1938-06-14,2003-04-03,1.0
100032,Male,Single,Other,n/a,University - College Student,n/a,21.327858,2,T,1983-01-01,2003-04-04,5.0
100055,Male,Single,Russians,n/a,Private Company / Partnership,Other Businessmen,21.993155,1,F,1982-05-03,2003-04-04,0.0
100096,Male,Single,Other,n/a,Unemployed,Unskilled Worker,31.326489,2,T,1973-01-01,2003-04-07,0.0
100154,Male,Single,Other,College/University,Private Company / Partnership,Clerical Staff,28.090349,3,F,1976-03-28,2003-04-07,6.0
100192,Female,Single,British,n/a,Government - Semi-Government,Clerical Staff,27.003422,3,F,1977-04-29,2003-04-07,4.0
100255,Female,Married,Other,n/a,Private Company / Partnership,Unskilled Worker,29.735797,2,T,1974-08-05,2003-04-08,0.0
100273,Male,Single,Other,n/a,University - College Student,n/a,26.584531,3,T,1977-09-29,2003-04-08,3.0
100310,Male,Single,Other,n/a,University - College Student,n/a,21.831622,2,T,1982-07-01,2003-04-09,3.0
100346,Female,Married,Russians,n/a,Private Company / Partnership,Unskilled Worker,30.294319,3,T,1974-01-13,2003-04-10,6.0
100379,Female,Married,British,n/a,Housewife,n/a,49.352498,2,F,1954-12-23,2003-04-10,3.0
100404,Male,Single,Other,n/a,University - College Student,n/a,24.895277,3,T,1979-06-08,2003-04-11,4.0
100426,Male,Married,British,n/a,Retired,n/a,61.497604,3,F,1942-10-31,2003-04-11,5.0
100464,Male,Single,British,n/a,Private Company / Partnership,MILITARY,21.330595,3,F,1982-12-31,2003-04-14,4.0
100506,Male,Married,British,n/a,Private Company / Partnership,Other Businessmen,57.007529,4,F,1947-04-28,2003-04-14,0.0
100541,Female,Married,British,n/a,Government - Semi-Government,Other Professionals,56.761123,1,F,1947-07-27,2003-04-15,6.0
100566,Male,Single,British,n/a,Puplic Company,Skilled Worker,21.043121,2,F,1983-04-15,2003-04-16,4.0
100590,Male,Single,Other,n/a,University - College Student,n/a,30.652977,2,T,1973-09-04,2003-04-16,1.0
100630,Male,Married,British,n/a,Retired,n/a,64.199863,1,F,1940-02-17,2003-04-17,5.0
100656,Male,Married,Russians,n/a,Private Company / Partnership,Other Professionals,41.864476,4,F,1962-06-19,2003-04-18,1.0
100679,Female,Married,British,n/a,Private Company / Partnership,Other Professionals,47.134839,1,F,1957-03-12,2003-04-18,1.0
100697,Female,Married,Other,n/a,Private Company / Partnership,Unskilled Worker,52.459959,2,F,1951-11-14,2003-04-21,2.0
100718,Female,Single,British,n/a,Government - Semi-Government,Clerical Staff,20.0,3,F,1984-04-30,2003-04-21,0.0
100737,Male,Married,British,n/a,Retired,n/a,54.647502,5,F,1949-09-06,2003-04-21,1.0
100795,Male,Single,Greek,n/a,Private Company / Partnership,Skilled Worker,30.091718,2,T,1974-03-28,2003-04-23,3.0
100827,Male,Single,Other,n/a,Private Company / Partnership,Unskilled Worker,36.5859,2,T,1967-09-29,2003-04-23,4.0
100847,Female,Single,Russians,Secondary,Private Company / Partnership,Technicians,22.907598,2,F,1981-06-03,2003-04-24,2.0
100878,Female,Married,Other,n/a,Private Company / Partnership,Unskilled Worker,43.70705,2,F,1960-08-15,2003-04-30,0.0
100911,Male,Married,British,n/a,Private Company / Partnership,Unskilled Worker,6.308008,2,F,1998-01-08,2003-04-30,3.0
100946,Female,Married,Russians,n/a,Selfemployed,Other Professionals,30.116359,1,F,1974-03-19,2003-05-02,1.0
100973,Male,Married,British,n/a,Government - Semi-Government,MILITARY,23.392197,4,F,1980-12-08,2003-05-02,0.0
101000,Male,Married,British,n/a,Private Company / Partnership,Other Professionals,51.690623,4,F,1952-08-21,2003-05-05,3.0
101018,Female,Married,Other,Secondary,Private Company / Partnership,Other Professionals,32.257358,2,F,1972-01-27,2003-05-05,3.0
101052,Female,Single,Russians,n/a,Private Company / Partnership,Other Professionals,27.178645,2,T,1977-02-24,2003-05-06,3.0
101083,Female,Single,Other,n/a,Private Company / Partnership,Unskilled Worker,27.498973,3,T,1976-10-30,2003-05-06,5.0
101112,Female,Single,Other,n/a,Housewife,n/a,34.116359,2,T,1970-03-19,2003-05-06,3.0
101136,Female,Single,Greek,n/a,Puplic Company,Clerical Staff,25.149897,3,F,1979-03-07,2003-05-07,2.0
101167,Male,Married,Other,n/a,Private Company / Partnership,Unskilled Worker,54.403833,2,F,1949-12-04,2003-05-07,6.0
101200,Male,Married,British,n/a,Private Company / Partnership,Other Businessmen,29.21013,2,T,1975-02-13,2003-05-08,3.0
101230,Male,n/a,British,n/a,n/a,Architects/Civil Eng/Land,33.557837,3,T,1970-10-09,2000-07-04,4.0
101258,Male,Single,Greek,n/a,Private Company / Partnership,Technicians,35.723477,2,T,1968-08-09,2003-05-09,4.0
101288,Male,Married,British,n/a,Government - Semi-Government,MILITARY,36.867899,3,F,1967-06-18,2003-05-12,6.0
101327,Female,Married,British,n/a,Housewife,n/a,51.611225,4,F,1952-09-19,2003-05-13,4.0
101351,Male,Married,Other,n/a,Private Company / Partnership,Unskilled Worker,43.843943,2,F,1960-06-26,2003-05-13,6.0
101393,Male,Married,Other,n/a,Private Company / Partnership,Unskilled Worker,55.055441,2,F,1949-04-10,2003-05-15,6.0
101431,Male,Single,Russians,n/a,Private Company / Partnership,Other Businessmen,25.09514,3,F,1979-03-27,2003-05-15,1.0
101476,Female,Married,British,n/a,Housewife,n/a,46.937714,4,F,1957-05-23,2003-05-16,3.0
101504,Male,Married,British,Secondary,Selfemployed,Other Professionals,53.489391,3,F,1950-11-03,2003-05-19,4.0
101521,Female,Single,British,n/a,Government - Semi-Government,MILITARY,21.837098,3,F,1982-06-29,2003-05-19,1.0
101544,Male,Single,Other,n/a,University - College Student,n/a,23.093771,2,T,1981-03-27,2003-05-20,4.0
101573,Male,Married,British,n/a,Private Company / Partnership,Technicians,29.1718,4,T,1975-02-27,2003-05-20,3.0
101594,Female,Married,Russians,College/University,Private Company / Partnership,Other Professionals,25.040383,2,T,1979-04-16,2003-05-21,0.0
101629,Male,Married,British,n/a,Retired,n/a,62.401095,5,F,1941-12-05,2003-05-22,4.0
101662,Female,Married,Other,Secondary,Housewife,n/a,40.33128,2,F,1963-12-31,2003-05-23,1.0
101688,Male,Single,Greek,n/a,Private Company / Partnership,Clerical Staff,26.05065,2,F,1978-04-12,2003-05-23,2.0
101735,Male,Married,Other,Secondary,Private Company / Partnership,Technicians,36.900753,2,F,1967-06-06,2003-05-27,1.0
101765,Male,Married,Greek,Secondary,Private Company / Partnership,Skilled Worker,37.828884,3,T,1966-07-02,2003-05-27,5.0
101802,Male,Married,British,n/a,Private Company / Partnership,Other Businessmen,57.724846,4,F,1946-08-09,2003-05-28,4.0
101823,Male,Married,Russians,n/a,Private Company / Partnership,Architects/Civil Eng/Land,65.483915,1,F,1938-11-05,2003-05-29,5.0
101846,Female,Married,British,n/a,Housewife,n/a,37.552361,1,F,1966-10-11,2003-05-29,1.0
101874,Male,n/a,British,n/a,Puplic Company,Other Professionals,71.874059,2,F,1932-06-15,1995-07-08,2.0
101891,Male,Single,Other,Secondary,Private Company / Partnership,Skilled Worker,22.926762,2,T,1981-05-27,2003-05-30,2.0
101937,Male,Married,Other,Secondary,Private Company / Partnership,Technicians,29.05681,2,T,1975-04-10,2003-06-02,3.0
101968,Male,Single,Other,n/a,Private Company / Partnership,Other Professionals,25.886379,3,F,1978-06-11,2003-06-02,6.0
101984,Male,Single,Other,n/a,Private Company / Partnership,Skilled Worker,26.770705,2,T,1977-07-23,2003-06-02,5.0
102016,Male,Married,British,n/a,Private Company / Partnership,Other Professionals,40.090349,4,F,1964-03-28,2003-06-03,5.0
102055,Female,Married,Other,Secondary,Private Company / Partnership,Unskilled Worker,27.126626,2,T,1977-03-15,2003-06-04,1.0
102086,Female,Single,Other,n/a,Private Company / Partnership,Skilled Worker,28.424367,2,F,1975-11-27,2003-06-04,3.0
102116,Male,Single,British,n/a,Private Company / Partnership,MILITARY,26.631075,3,F,1977-09-12,2003-06-05,0.0
102140,Female,Married,British,n/a,Government - Semi-Government,MILITARY,30.321697,3,F,1974-01-03,2003-06-05,3.0
102179,Female,Married,Russians,n/a,Private Company / Partnership,Unskilled Worker,24.032854,2,T,1980-04-18,2003-06-06,4.0
102206,Female,Married,Other,n/a,Private Company / Partnership,Skilled Worker,28.599589,2,F,1975-09-24,2003-06-06,2.0
102229,Male,Single,British,n/a,Government - Semi-Government,MILITARY,38.554415,4,F,1965-10-10,2003-06-09,6.0
102252,Male,Married,British,College/University,Private Company / Partnership,Other Businessmen,48.881588,1,F,1955-06-13,2003-06-09,0.0
102276,Male,Married,British,n/a,Government - Semi-Government,Teachers / Professors,45.957563,4,F,1958-05-16,2003-06-10,4.0
102306,Female,Single,British,n/a,Private Company / Partnership,Unskilled Worker,41.292266,2,F,1963-01-14,2003-06-10,0.0
102341,Male,Married,Other,n/a,Private Company / Partnership,Skilled Worker,104.325804,2,F,1900-01-01,2003-06-11,0.0
102363,Male,Single,Other,n/a,Private Company / Partnership,Other Professionals,27.805613,3,F,1976-07-10,2003-06-12,5.0
102381,Female,Married,Other,College/University,Housewife,n/a,32.350445,3,T,1971-12-24,2003-06-13,4.0
102418,Male,Married,British,College/University,Private Company / Partnership,SENIOR MANAGER,38.255989,5,F,1966-01-27,2003-06-13,3.0
102456,Male,Married,British,n/a,Private Company / Partnership,Salesmen,43.931554,1,F,1960-05-25,2003-06-17,2.0
102480,Male,Married,Greek,n/a,Private Company / Partnership,Other Professionals,40.596851,2,F,1963-09-25,2003-06-17,2.0
102503,Male,Single,Other,n/a,University - College Student,n/a,20.884326,3,F,1983-06-12,2003-06-18,6.0
102518,Male,Single,Other,n/a,University - College Student,n/a,23.436003,3,T,1980-11-22,2003-06-18,5.0
102546,Female,Married,Other,n/a,Private Company / Partnership,Skilled Worker,37.516769,1,F,1966-10-24,2003-06-19,0.0
102574,Female,Married,British,n/a,Housewife,n/a,34.340862,2,F,1969-12-27,2003-06-19,5.0
102596,Female,Divorced,British,n/a,Government - Semi-Government,MILITARY,37.801506,4,F,1966-07-12,2003-06-20,1.0
102618,Male,Single,Other,College/University,University - College Student,n/a,24.791239,3,F,1979-07-16,2003-06-20,0.0
102642,Male,Single,Other,College/University,University - College Student,n/a,22.450376,2,T,1981-11-17,2003-06-23,1.0
102661,Female,Married,British,n/a,Housewife,n/a,51.167693,1,F,1953-02-28,2003-06-23,5.0
102677,Male,Married,British,n/a,Government - Semi-Government,MILITARY,55.63039,4,F,1948-09-12,2003-06-24,6.0
102698,Female,Married,British,n/a,Selfemployed,Other Businessmen,47.953457,4,F,1956-05-17,2003-06-24,3.0
102715,Female,Single,Greek,Secondary,Private Company / Partnership,Skilled Worker,23.983573,2,T,1980-05-06,2003-06-24,1.0
102744,Female,Widowed,British,n/a,Retired,n/a,70.78987,2,F,1933-07-16,2003-06-25,6.0
102764,Female,Single,Russians,n/a,Private Company / Partnership,Clerical Staff,20.591376,2,F,1983-09-27,2003-06-26,1.0
102796,Male,Married,British,n/a,Retired,n/a,71.723477,4,F,1932-08-09,2003-06-26,1.0
102818,Male,Married,Greek,n/a,Government - Semi-Government,MILITARY,35.531828,2,F,1968-10-18,2003-06-27,4.0
102842,Male,Single,Other,College/University,University - College Student,n/a,21.28679,2,F,1983-01-16,2003-06-27,6.0
102866,Male,Single,Other,n/a,University - College Student,n/a,21.861739,3,T,1982-06-20,2003-06-30,6.0
102886,Male,Married,British,n/a,Private Company / Partnership,MILITARY,38.759754,3,F,1965-07-27,2003-06-30,1.0
102914,Male,Single,Other,College/University,University - College Student,n/a,23.805613,2,T,1980-07-10,2003-07-01,3.0
102936,Female,Single,Other,Secondary,University - College Student,n/a,22.401095,2,T,1981-12-05,2003-07-01,5.0
102957,Male,Single,Other,Secondary,University - College Student,n/a,20.383299,2,F,1983-12-12,2003-07-01,0.0
102976,Male,Single,Other,College/University,University - College Student,n/a,22.015058,2,T,1982-04-25,2003-07-01,6.0
103009,Female,Married,Other,n/a,Housewife,n/a,34.937714,2,T,1969-05-23,2003-07-02,4.0
103040,Male,Single,Greek,n/a,Private Company / Partnership,Other Professionals,22.765229,2,F,1981-07-25,2003-07-02,5.0
103074,Male,Married,British,n/a,Private Company / Partnership,Skilled Worker,60.183436,4,F,1944-02-23,2003-07-03,2.0
103103,Female,Single,Russians,n/a,Private Company / Partnership,Clerical Staff,21.724846,2,F,1982-08-09,2003-07-03,0.0
103126,Male,Single,Other,Secondary,University - College Student,n/a,22.297057,2,T,1982-01-12,2003-07-04,1.0
103142,Female,Married,Russians,n/a,Housewife,n/a,30.554415,2,F,1973-10-10,2003-07-04,2.0
103157,Female,Married,Other,n/a,Private Company / Partnership,Other Professionals,41.352498,2,F,1962-12-23,2003-07-04,6.0
103179,Male,Single,Other,College/University,Retired,n/a,25.938398,2,T,1978-05-23,2003-07-07,1.0
103212,Male,Married,Other,Elementary,Private Company / Partnership,Construction companies Owne,25.790554,2,T,1978-07-16,2003-07-07,6.0
103236,Female,Married,Other,n/a,Private Company / Partnership,Unskilled Worker,26.685832,3,F,1977-08-23,2003-07-08,1.0
103259,Male,Single,Other,n/a,University - College Student,n/a,20.235455,2,T,1984-02-04,2003-07-08,5.0
103281,Male,Single,Other,n/a,Private Company / Partnership,Clerical Staff,30.754278,3,T,1973-07-29,2003-07-09,6.0
103302,Male,Single,Other,Secondary,University - College Student,n/a,23.86037,2,T,1980-06-20,2003-07-09,4.0
103319,Male,Single,Other,Secondary,University - College Student,n/a,26.327173,2,T,1978-01-01,2003-07-09,6.0
103340,Male,Single,Other,n/a,University - College Student,n/a,31.728953,3,T,1972-08-07,2003-07-10,0.0
103381,Male,Married,Other,n/a,Private Company / Partnership,Unskilled Worker,33.100616,2,F,1971-03-25,2003-07-10,3.0
103397,Male,Divorced,British,College/University,Private Company / Partnership,Middle Manager,51.143053,4,F,1953-03-09,2003-07-11,0.0
103416,Male,Single,British,n/a,Government - Semi-Government,MILITARY,23.498973,4,F,1980-10-30,2003-07-11,3.0
103431,Male,Single,Other,n/a,University - College Student,n/a,19.676934,3,T,1984-08-26,2003-07-11,6.0
103455,Male,Single,Other,n/a,University - College Student,n/a,20.325804,2,T,1984-01-02,2003-07-14,0.0
103469,Male,Single,Other,College/University,University - College Student,n/a,21.327858,2,T,1983-01-01,2003-07-14,5.0
103495,Male,Single,Greek,n/a,Private Company / Partnership,Skilled Worker,50.417522,2,F,1953-11-29,2003-07-14,6.0
103511,Female,Divorced,Russians,n/a,Private Company / Partnership,Unskilled Worker,39.315537,2,T,1965-01-05,2003-07-14,1.0
103530,Male,Single,Other,n/a,University - College Student,n/a,21.511294,2,F,1982-10-26,2003-07-15,1.0
103550,Male,Single,Other,n/a,University - College Student,n/a,25.166324,2,T,1979-03-01,2003-07-15,3.0
103571,Male,Single,Other,n/a,University - College Student,n/a,22.913073,2,T,1981-06-01,2003-07-15,0.0
103588,Male,Single,Other,Professional qualification,Puplic Company,Other Professionals,41.138946,5,F,1963-03-11,2003-07-15,0.0
103628,Female,Married,British,n/a,Housewife,n/a,39.351129,3,T,1964-12-23,2003-07-16,2.0
103677,Male,Single,Other,n/a,University - College Student,n/a,24.503765,2,F,1979-10-29,2003-07-17,0.0
103692,Male,Married,British,n/a,Government - Semi-Government,MILITARY,35.203285,4,F,1969-02-15,2003-07-17,5.0
103704,Male,Single,British,n/a,Government - Semi-Government,MILITARY,25.50308,4,F,1978-10-29,2003-07-17,6.0
103719,Female,Married,British,n/a,Housewife,n/a,38.464066,1,T,1965-11-12,2003-07-18,4.0
103729,Male,Single,British,n/a,Private Company / Partnership,MILITARY,21.522245,2,F,1982-10-22,2003-07-18,4.0
103743,Male,Single,British,n/a,Government - Semi-Government,MILITARY,22.132786,2,F,1982-03-13,2003-07-18,5.0
103754,Male,Married,British,n/a,Government - Semi-Government,MILITARY,32.320329,3,F,1972-01-04,2003-07-18,1.0
103768,Male,Single,British,n/a,Government - Semi-Government,MILITARY,23.288159,3,F,1981-01-15,2003-07-18,3.0
103778,Male,Single,British,n/a,Private Company / Partnership,MILITARY,19.181383,2,F,1985-02-23,2003-07-18,5.0
103788,Male,Married,British,n/a,Private Company / Partnership,MILITARY,30.861054,4,F,1973-06-20,2003-07-18,2.0
103799,Male,Single,British,n/a,Private Company / Partnership,MILITARY,22.63655,4,F,1981-09-10,2003-07-18,3.0
103809,Male,Single,British,n/a,Private Company / Partnership,MILITARY,25.103354,2,T,1979-03-24,2003-07-18,5.0
103819,Male,Married,British,n/a,Private Company / Partnership,MILITARY,30.688569,3,F,1973-08-22,2003-07-18,2.0
103829,Male,Married,British,n/a,Private Company / Partnership,MILITARY,29.711157,4,F,1974-08-14,2003-07-18,2.0
103840,Male,Single,British,n/a,Private Company / Partnership,MILITARY,28.399726,2,T,1975-12-06,2003-07-21,5.0
103856,Male,Single,British,n/a,Private Company / Partnership,MILITARY,24.068446,2,F,1980-04-05,2003-07-21,5.0
103870,Male,Single,Other,n/a,University - College Student,n/a,24.328542,3,T,1980-01-01,2003-07-21,1.0
103881,Male,Married,British,n/a,Private Company / Partnership,MILITARY,40.33128,4,F,1963-12-31,2003-07-21,1.0
103894,Male,Single,Other,Secondary,University - College Student,n/a,23.126626,2,T,1981-03-15,2003-07-21,6.0
103920,Male,Single,British,n/a,Private Company / Partnership,MILITARY,29.289528,2,F,1975-01-15,2003-07-21,2.0
103931,Male,Single,British,n/a,Private Company / Partnership,MILITARY,23.444216,2,F,1980-11-19,2003-07-21,2.0
103956,Male,Married,British,n/a,Government - Semi-Government,MILITARY,36.413415,4,F,1967-12-01,2003-07-22,4.0
103984,Male,Single,Other,n/a,Private Company / Partnership,Other Businessmen,38.962355,1,F,1965-05-14,2003-07-22,4.0
104012,Female,Single,Other,n/a,Private Company / Partnership,Unskilled Worker,26.258727,2,T,1978-01-26,2003-07-23,3.0
104044,Male,Married,British,n/a,Retired,n/a,58.302533,5,F,1946-01-10,2003-07-23,3.0
104085,Male,Single,Other,n/a,Private Company / Partnership,Technicians,34.083504,2,F,1970-03-31,2003-07-24,1.0
104120,Male,Single,Greek,n/a,Government - Semi-Government,MILITARY,25.327858,3,T,1979-01-01,2003-07-25,0.0
104164,Female,Single,Other,n/a,Private Company / Partnership,Teachers / Professors,25.577002,1,F,1978-10-02,2003-07-28,0.0
104190,Male,Single,Other,College/University,University - College Student,n/a,26.661191,2,T,1977-09-01,2003-07-28,3.0
104234,Male,Single,British,n/a,Private Company / Partnership,Other Professionals,60.079398,1,F,1944-04-01,2003-07-29,5.0
104259,Female,Single,British,n/a,Private Company / Partnership,Skilled Worker,33.519507,4,F,1970-10-23,2003-07-30,4.0
104280,Male,Single,British,n/a,Private Company / Partnership,Unskilled Worker,22.444901,2,T,1981-11-19,2003-07-31,3.0
104308,Male,Married,British,n/a,Private Company / Partnership,Skilled Worker,56.188912,3,F,1948-02-21,2003-07-31,5.0
104338,Male,Single,Other,n/a,University - College Student,n/a,22.417522,2,F,1981-11-29,2003-07-31,6.0
104367,Female,Married,British,n/a,Retired,n/a,58.491444,1,F,1945-11-02,2003-08-01,4.0
104401,Female,Widowed,Greek Cypriot,n/a,Housewife,n/a,38.792608,2,T,1965-07-15,2003-08-04,3.0
104429,Male,Married,British,n/a,Private Company / Partnership,SENIOR MANAGER,41.21013,2,F,1963-02-13,2003-08-04,2.0
104486,Male,Married,Greek,n/a,Government - Semi-Government,MILITARY,49.932923,5,F,1954-05-25,2003-08-05,1.0
104518,Male,Single,Other,n/a,Private Company / Partnership,Unskilled Worker,30.236824,2,T,1974-02-03,2003-08-06,6.0
104539,Male,Married,British,n/a,Private Company / Partnership,Middle Manager,57.535934,4,F,1946-10-17,2003-08-07,3.0
104570,Male,Single,British,n/a,Government - Semi-Government,MILITARY,23.685147,2,F,1980-08-23,2003-08-07,5.0
104602,Male,Single,Other,n/a,Private Company / Partnership,Other Professionals,24.106776,2,F,1980-03-22,2003-08-08,5.0
104633,Female,Married,Greek,n/a,Housewife,n/a,38.902122,1,T,1965-06-05,2003-08-11,5.0
104652,Male,Single,Other,n/a,University - College Student,n/a,22.537988,2,T,1981-10-16,2003-08-11,4.0
104679,Male,Single,Greek,College/University,Government - Semi-Government,Other Professionals,40.090349,2,F,1964-03-28,2003-08-11,5.0
104707,Male,Single,Other,n/a,University - College Student,n/a,28.813142,2,T,1975-07-08,2003-08-12,1.0
104751,Female,Married,Other,n/a,Housewife,n/a,36.073922,1,F,1968-04-03,2003-08-13,2.0
104775,Male,Single,Greek Cypriot,Secondary,Private Company / Partnership,Salesmen,23.876797,2,T,1980-06-14,2003-08-14,5.0
104797,Female,Married,British,n/a,Housewife,n/a,39.148528,1,F,1965-03-07,2003-08-14,6.0
104820,Female,Married,British,n/a,Government - Semi-Government,Teachers / Professors,33.483915,1,F,1970-11-05,2003-08-18,3.0
104851,Male,Married,Greek,n/a,Government - Semi-Government,MILITARY,32.440794,2,F,1971-11-21,2003-08-18,6.0
104867,Male,Single,Other,College/University,University - College Student,n/a,25.998631,2,T,1978-05-01,2003-08-19,0.0
104903,Female,Married,British,n/a,Housewife,n/a,29.664613,1,F,1974-08-31,2003-08-20,5.0
104920,Female,Married,Other,n/a,Private Company / Partnership,Teachers / Professors,30.234086,1,F,1974-02-04,2003-08-20,0.0
104952,Male,Married,British,n/a,Government - Semi-Government,MILITARY,35.55373,3,F,1968-10-10,2003-08-21,3.0
104979,Female,Married,Other,n/a,Housewife,n/a,41.152635,1,F,1963-03-06,2003-08-21,2.0
105010,Male,Married,British,n/a,Private Company / Partnership,MILITARY,34.302533,4,F,1970-01-10,2003-08-22,5.0
105038,Male,Single,British,College/University,Government - Semi-Government,Teachers / Professors,42.439425,1,F,1961-11-21,2003-08-25,1.0
105077,Male,Single,British,n/a,Private Company / Partnership,Other Professionals,38.869268,3,T,1965-06-17,2003-08-26,3.0
105100,Male,Single,Russians,n/a,University - College Student,n/a,24.030116,3,T,1980-04-19,2003-08-27,5.0
105134,Female,Single,Other,n/a,Private Company / Partnership,Skilled Worker,30.061602,3,F,1974-04-08,2003-08-27,0.0
105176,Male,Married,British,n/a,Private Company / Partnership,Technicians,55.052704,1,F,1949-04-11,2003-08-28,0.0
105205,Female,Single,Greek,n/a,University - College Student,n/a,19.748118,2,F,1984-07-31,2003-08-29,1.0
105242,Female,Married,Russians,College/University,Private Company / Partnership,Other Businessmen,42.732375,2,F,1961-08-06,2003-09-01,6.0
105269,Female,Married,British,n/a,Housewife,n/a,35.518138,3,F,1968-10-23,2003-09-01,2.0
105294,Male,Married,British,n/a,Government - Semi-Government,MILITARY,46.436687,3,F,1957-11-22,2003-09-01,4.0
105320,Male,Single,British,n/a,Government - Semi-Government,MILITARY,20.536619,2,F,1983-10-17,2003-09-02,0.0
105374,Female,Single,Greek,College/University,Private Company / Partnership,Other Businessmen,23.545517,3,F,1980-10-13,2003-09-03,0.0
105406,Male,Single,Russians,n/a,Private Company / Partnership,Other Businessmen,31.321013,2,T,1973-01-03,2003-09-04,2.0
